accessionVersion	outbreak	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_006XCJJ.1	Bdbv-2026	2026-05-14	Uganda	Uganda	Kanyerezi, Stephen; Ayitewala, Alisen; Nsawotebba, Andrew; Oundo, Hellen Rosette; Sseruyange, Julius; Tenywa, Wilson; Tusabe, Godwin; Murungi, Moses; Nakintu, Valeria; Makoha, Caroline; Kabahita, Jupiter Marina; Mugerwa, Ibrahim; Francis, Ddumba Semakuba; Kagirita, Atek; Lubwama, Benard; Eilu, Roggers Michael; Otita, Morgan; Giduddu, Samuel; Ssemaganda, Aloysious; Nabadda, Susan; Ssewanyana, Isaac	Department of National Health Laboratory and Diagnostics Services, Central Public Health Laboratories (NHLDS-CPHL), Ministry of Health, P.O. Box 7272, Kampala, Uganda;The African Center of Excellence in Bioinformatics and Data-Intensive Sciences, the Infectious Diseases Institute, College of Health Sciences, Makerere University, P.O Box 22418, Kampala, Uganda;Department of Immunology and Molecular Biology, School of Biomedical Sciences, College of Health Sciences,  Makerere University, P.O Box 7072, Kampala, Uganda;National Public Health Emergency Operations Center-PEOC, Ministry of Health;Department of Global Health Security, Infectious Diseases Institute, Makerere University, Kampala, Uganda;Uganda National Institute of Public Health, Ministry of Health;Infectious Diseases Research Collaboration, Kampala, Uganda	Homo sapiens	18886	2026-05-17	CL023114	BDBV_2026	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9970960929250264	Hoima					CL023114	1	0
PP_006XHKB.2	Bdbv-2026	2026-05-03	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda - Ndelemo, Gradi; Makangara-Cigolo, Jean-Claude; Muswamba-Kayembe, Chloe; Rilia, Ola; Akil-Bandali, Prince; Paku-Tshambu, Princesse; Wilkinson, Sam; Tshulo, Louis; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Cikaya-Kankolongo, Fiston; Kimbonza, Servet; Pukuta, Elisabeth; Mukadi, Daniel; Ngandu, Christian; Mossoko, Mathias; Kabamba -Lungenyi, Gabriel; Lumembe-Numbi, Raphael; Mabika-Bope, Elzedeck; Mukadi, Patrick; Pratt, Catherine; Mwamba, Dieudonne; Loman, Nick; Rambaut, Andrew; Kinganda-Lusamaki, Eddy; Wawina-Bokalanga, Tony; Mumba - Ngoyi, Dieudonne; Muyembe-Tamfum, Jean-Jacques; Ahuka-Mundeke, Steve; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18921	2026-05-18	26FHV045	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9988384371700105	Bunia					26FHV045	1	1
PP_006XHL9.2	Bdbv-2026	2026-05-07	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda - Ndelemo, Gradi; Makangara-Cigolo, Jean-Claude; Muswamba-Kayembe, Chloe; Rilia, Ola; Akil-Bandali, Prince; Paku-Tshambu, Princesse; Wilkinson, Sam; Tshulo, Louis; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Cikaya-Kankolongo, Fiston; Kimbonza, Servet; Pukuta, Elisabeth; Mukadi, Daniel; Ngandu, Christian; Mossoko, Mathias; Kabamba -Lungenyi, Gabriel; Lumembe-Numbi, Raphael; Mabika-Bope, Elzedeck; Mukadi, Patrick; Pratt, Catherine; Mwamba, Dieudonne; Loman, Nick; Rambaut, Andrew; Kinganda-Lusamaki, Eddy; Wawina-Bokalanga, Tony; Mumba - Ngoyi, Dieudonne; Muyembe-Tamfum, Jean-Jacques; Ahuka-Mundeke, Steve; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18883	2026-05-18	26FHV054	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9969376979936642	Bunia					26FHV054	0	0
PP_006XXY5.1	Bdbv-2026	2026-05-20	Democratic Republic of the Congo		Best, Till D.; Melchert, Julia; Mauno, Tiina; Zaki, Nikolai W.; Veith, Talitha; Bleicker, Tobias; Jones, Terry C.; Drosten, Christian; Corman, Victor M.	Charité - Universitätsmedizin, Institute of Virology	Homo sapiens	18903	2026-05-21	D26-00882	Charité Virologie	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9979936642027455							0	0
PP_006Y8ME.1	Bdbv-2026	2026-05-06	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18879	2026-05-21	26FHV058	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.8755543822597677	Katwa					26FHV058	1	2289
PP_006Y8NC.2	Bdbv-2026	2026-05-15	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18863	2026-05-21	26FHV061	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9938753959873284	Bunia					26FHV061	0	38
PP_006Y8PA.2	Bdbv-2026	2026-05-15	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18880	2026-05-21	26FHV062	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9860084477296727	Bunia					26FHV062	0	204
PP_006Y8Q8.2	Bdbv-2026	2026-05-15	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18874	2026-05-21	26FHV063	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.9956705385427667	Bunia					26FHV063	3	12
PP_006Y8R6.1	Bdbv-2026	2026-05-16	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18883	2026-05-21	26FHV064	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.996832101372756	Bunia					26FHV064	2	0
PP_006Y8S4.1	Bdbv-2026	2026-05-16	Democratic Republic of the Congo	Ituri	Amuri-Aziza, Adrienne; Adroba-Tandele, Pascal; Luakanda-Ndelemo, Gradi; Kinganda-Lusamaki, Eddy; Lola-Loway, Marcel; Djemba-Fundji, Benjamin; Ola-Mpumbe, Rilia; Cikaya-Kankolongo, Fiston; Paku-Tshambu, Princesse; Muswamba-Kayembe, Pauline-Chloé; Lumembe-Numbi, Raphael; Mapenzi-Kashali, Nelson; Tete-Sitra, Judith; Makangara-Cigolo, Jean-Claude; Akil-Bandali, Prince; Kimbonza, Servet; Wilkinson, Sam; Quick, Josh; Citenga, Andre; Ntumba-Tshitenge, Olga; Lokilo-Lofiko, Emmanuel; Mukadi, Daniel; Jansen, Daan; Vercauteren, Koen; Ngandu, Christian; Mossoko, Mathias; Loman, Nick; Rambaut, Andrew; Mwamba, Dieudonne; Ahuka-Mundeke, Steve; Muyembe-Tamfum, Jean-Jacques; Wawina-Bokalanga, Tony; Mbala-Kingebeni, Placide	Institut National de Recherche Biomédicale	Homo sapiens	18876	2026-05-21	26FHV065	Pathogen Genomic Lab	RESTRICTED	https://pathoplexus.org/about/terms-of-use/restricted-data		0.995934530095037	Bunia					26FHV065	1	11
